 point time
0 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2106390
1 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 1608533
2 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2145876
3 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2280461
4 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2116903
5 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 1988348
6 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 1995289
7 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2060559
8 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2329332
9 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2074966
10 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2138303
11 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2125060
12 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2109339
13 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2036076
14 8379879956214123187233765623878653829674603637870245861077225902326102518795966860501171436354314642306269911366553781783596176757466606216521030628802560 2074039
15 8379879956214123187233765623878653829674603637870245861077225902326102518795966860501171436354314642306269911366553781783596176757466606216521030628802560 2110228
16 8379879956214123187233765623878653829674603637870245861077225902326102518795966860501171436354314642306269911366553781783596176757466606216521030628802560 2381887
17 8379879956214123187233765623878653829674603637870245861077225902326102518795966860501171436354314642306269911366553781783596176757466606216521030628802560 2114177
18 8379879956214123187233765623878653829674603637870245861077225902326102518795966860501171436354314642306269911366553781783596176757466606216521030628802560 2090393
19 8379879956214123187233765623878653829674603637870245861077225902326102518795966860501171436354314642306269911366553781783596176757466606216521030628802560 2343718
20 8379879956214123187233765623878653829674603637870245861077225902326102518795966860501171436354314642306269911366553781783596176757466606216521030628802560 2137179
21 9217867951835535505957142186266519212642064001657270447184948492558712770675563546551288579989746106536896902503209159961955794433213266838173133691682816 2052882
22 9217867951835535505957142186266519212642064001657270447184948492558712770675563546551288579989746106536896902503209159961955794433213266838173133691682816 2073908
23 9217867951835535505957142186266519212642064001657270447184948492558712770675563546551288579989746106536896902503209159961955794433213266838173133691682816 1995089
24 9217867951835535505957142186266519212642064001657270447184948492558712770675563546551288579989746106536896902503209159961955794433213266838173133691682816 2018704
25 9217867951835535505957142186266519212642064001657270447184948492558712770675563546551288579989746106536896902503209159961955794433213266838173133691682816 2073638
